away_team,home_team,away_st_downs,home_st_downs,away_passing_st_downs,home_passing_st_downs,away_rushing_st_downs,home_rushing_st_downs,away_st_downs_from_penalties,home_st_downs_from_penalties,away_rd_down_efficiency,home_rd_down_efficiency,away_th_down_efficiency,home_th_down_efficiency,away_total_plays,home_total_plays,away_total_yards,home_total_yards,away_total_drives,home_total_drives,away_yards_per_play,home_yards_per_play,away_passing,home_passing,away_comp_att,home_comp_att,away_yards_per_pass,home_yards_per_pass,away_interceptions_thrown,home_interceptions_thrown,away_sacks_yards_lost,home_sacks_yards_lost,away_rushing,home_rushing,away_rushing_attempts,home_rushing_attempts,away_yards_per_rush,home_yards_per_rush,away_red_zone_made_att,home_red_zone_made_att,away_penalties,home_penalties,away_turnovers,home_turnovers,away_fumbles_lost,home_fumbles_lost,away_defensive_special_teams_tds,home_defensive_special_teams_tds,away_possession,home_possession,home_wins
8,31,13.0,20.0,10.0,10.0,2.0,8.0,1.0,2.0,0.4166666666666667,0.3333333333333333,0.0,0.0,46.0,72.0,303.0,360.0,12.0,13.0,6.6,5.0,236.0,244.0,0.6666666666666666,0.5434782608695652,12.4,5.0,1.0,3.0,0.0,0.13636363636363635,67.0,116.0,27.0,23.0,2.5,5.0,1.0,0.0,0.12857142857142856,0.07142857142857142,1.0,4.0,0.0,1.0,1.0,0.0,1648,1952,0
20,7,16.0,29.0,8.0,12.0,6.0,16.0,2.0,1.0,0.2727272727272727,0.4444444444444444,1.0,0.0,54.0,66.0,269.0,451.0,10.0,9.0,5.0,6.8,162.0,171.0,0.6071428571428571,0.68,4.9,6.6,0.0,0.0,0.14705882352941177,0.3333333333333333,107.0,280.0,21.0,40.0,5.1,7.0,0.3333333333333333,0.5714285714285714,0.0784313725490196,0.11904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,1541,2059,1
19,25,20.0,29.0,9.0,21.0,9.0,5.0,2.0,3.0,0.3,0.375,0.0,0.0,58.0,63.0,451.0,449.0,11.0,11.0,7.8,7.1,225.0,354.0,0.6129032258064516,0.6976744186046512,6.4,8.0,0.0,3.0,0.14814814814814814,0.125,226.0,95.0,23.0,19.0,9.8,5.0,0.4,0.6,0.125,0.15,0.0,4.0,0.0,1.0,0.0,0.0,1967,1633,0
12,13,26.0,19.0,12.0,9.0,7.0,8.0,7.0,2.0,0.38461538461538464,0.5,0.0,1.0,66.0,56.0,382.0,222.0,9.0,9.0,5.8,4.0,285.0,146.0,0.5833333333333334,0.5925925925925926,7.7,5.2,0.0,1.0,1.0,0.09090909090909091,97.0,76.0,29.0,28.0,3.3,2.7,0.2,0.5,0.0673076923076923,0.09302325581395349,0.0,1.0,0.0,0.0,0.0,0.0,1952,1648,0
22,29,21.0,13.0,9.0,8.0,11.0,4.0,1.0,1.0,0.42857142857142855,0.2857142857142857,1.0,0.5,63.0,57.0,389.0,316.0,12.0,11.0,6.2,5.5,241.0,159.0,0.5757575757575758,0.5357142857142857,7.1,5.5,1.0,1.0,0.0,0.25,148.0,157.0,29.0,28.0,5.1,5.6,1.0,0.25,0.08,0.125,3.0,1.0,2.0,0.0,0.0,0.0,1835,1765,0
1,21,27.0,20.0,14.0,18.0,9.0,0.0,4.0,2.0,0.5384615384615384,0.3333333333333333,0.0,0.0,68.0,56.0,411.0,282.0,10.0,10.0,6.0,5.0,250.0,248.0,0.75,0.7619047619047619,8.9,5.3,0.0,1.0,0.0,0.11627906976744186,161.0,34.0,40.0,9.0,4.0,3.8,0.6666666666666666,0.0,0.09090909090909091,0.2222222222222222,0.0,3.0,0.0,2.0,0.0,0.0,2222,1378,0
30,15,16.0,17.0,11.0,12.0,2.0,5.0,3.0,0.0,0.35714285714285715,0.4666666666666667,0.0,0.0,59.0,62.0,324.0,300.0,11.0,11.0,5.5,4.8,268.0,186.0,0.6153846153846154,0.7142857142857143,6.7,6.2,1.0,0.0,0.2,0.13333333333333333,56.0,114.0,19.0,32.0,2.9,3.6,0.0,1.0,0.13333333333333333,0.10869565217391304,2.0,0.0,1.0,0.0,0.0,0.0,1784,1816,1
2,27,27.0,18.0,10.0,12.0,13.0,4.0,4.0,2.0,0.4444444444444444,0.36363636363636365,0.3333333333333333,0.0,81.0,57.0,328.0,340.0,12.0,12.0,4.0,6.0,159.0,189.0,0.5238095238095238,0.5333333333333333,3.7,5.7,1.0,1.0,0.09090909090909091,0.17647058823529413,169.0,151.0,38.0,24.0,4.4,6.3,0.4,0.6666666666666666,0.1,0.11290322580645161,1.0,2.0,0.0,1.0,0.0,0.0,2198,1402,1
17,18,9.0,23.0,4.0,13.0,3.0,6.0,2.0,4.0,0.23076923076923078,0.2857142857142857,0.0,0.0,50.0,78.0,150.0,387.0,14.0,14.0,3.0,5.0,83.0,308.0,0.42857142857142855,0.6170212765957447,2.8,6.6,1.0,2.0,0.2222222222222222,0.0,67.0,79.0,20.0,31.0,3.4,2.5,0.5,0.3333333333333333,0.13186813186813187,0.08450704225352113,1.0,2.0,0.0,0.0,1.0,0.0,1398,2202,1
9,5,15.0,29.0,8.0,17.0,6.0,10.0,1.0,2.0,0.46153846153846156,0.5555555555555556,0.0,0.0,55.0,66.0,272.0,550.0,11.0,11.0,4.9,8.3,165.0,302.0,0.6060606060606061,0.75,4.7,12.1,0.0,0.0,0.1111111111111111,0.0,107.0,248.0,20.0,41.0,5.4,6.0,1.0,0.8,0.2,0.14814814814814814,1.0,1.0,1.0,1.0,0.0,0.0,1439,2161,1
